Critical Industry,Organisation size,Level of digital intensity,Cyber security role,Cyber security frameworks,Improper network segmentation,Inappropriate remote access,Absence of encryption,Number of users affected,Attack type,Attacker,Attack vector,Impact on data,Aspect of Confidentiality-Integrity-Availability triad affected,Attacker type
Yes,Small,High,No,No,Yes,No,Yes,Missing,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Unknown
Yes,Medium,Low-Medium,No,No,Yes,No,No,26873,Installed malware,External,,High,Availability,Cybercriminal group
No,,Medium-High,No,No,Yes,No,Yes,800000,Web compromise,External,Vendor vulnerability,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,No,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low,Yes,No,No,No,,500000,Web compromise,External,Insufficient input validation,High,Confidentiality,Unknown
No,Medium,Medium-High,No,No,,,Yes,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
No,Large,Medium-High,No,No,,,Yes,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
No,Large,Low-Medium,Yes,No,No,No,Yes,Missing,Misuse of resources,External,Social engineering,Low,Confidentiality,Phisher
Yes,Medium,High,No,No,No,No,,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,85000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,Low-Medium,No,No,Yes,No,Yes,93000,,External,Unknown network attack,Medium,Confidentiality,Unknown
No,Small,Medium-High,No,No,Yes,No,Yes,Missing,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Unknown
No,Medium,Medium-High,No,No,Yes,No,Yes,Missing,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Unknown
Yes,Medium,Low,No,No,Yes,No,Yes,Missing,Installed malware,External,Insufficient input validation,High,Confidentiality,Unknown
No,Large,Low-Medium,No,No,Yes,No,Yes,163000,,External,Insufficient authentication validation,Medium,Confidentiality,Script kiddie or Hacker
Yes,Large,High,Yes,No,Yes,No,Yes,Missing,,External,,Medium,Confidentiality,Unknown
Yes,,Medium-High,No,No,No,No,,400000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,No,No,,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,Low-Medium,No,No,Yes,No,Yes,Missing,Web compromise,External,Unknown website/web application attack,Medium,Confidentiality,Unknown
No,Large,Low-Medium,No,No,No,No,,15000,Physical Theft,External,Physical device,Medium,Confidentiality,Unknown
No,Medium,High,No,No,Yes,No,Yes,Missing,Installed malware,External,Unknown network attack,Medium,Confidentiality,Cybercriminal group
No,Small,Low-Medium,Yes,No,Yes,No,Yes,Missing,,External,Unknown network attack,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,55000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,High,Yes,No,Yes,,,106000000,,External,Unknown network attack,High,Confidentiality,Unknown
Yes,Large,High,Yes,No,,,,100000,Misuse of resources,Internal,Inappropriate use of privilege,Medium,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,,,,9681,Installed malware,External,Unknown network attack,High,Availability,Cybercriminal group
Yes,Small,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Unknown
Yes,Large,High,No,No,Yes,No,Yes,40000000,Installed malware,External,Unknown network attack,High,Confidentiality,Unknown
Yes,Medium,Low,No,No,,,Yes,14558000,,External,Unknown network attack,Low,Confidentiality,Unknown
No,,Low-Medium,No,No,,,Yes,Missing,,External,Unknown network attack,Low,Confidentiality,Unknown
No,Large,High,No,No,Yes,,,1100000,,External,Unknown network attack,Medium,Confidentiality,Unknown
No,Medium,Medium-High,No,No,,,Yes,2400000,,External,,High,Confidentiality,Unknown
No,,High,No,No,Yes,Yes,Yes,Missing,Installed malware,External,Unknown network attack,High,Availability,Cybercriminal group
Yes,Medium,Low-Medium,No,No,,,No,20000,Misuse of resources,External,Social engineering,Low,Confidentiality,Phisher
Yes,Large,Low,No,No,Yes,No,Yes,1105000,Installed malware,External,,High,Confidentiality,Cybercriminal group
No,Large,Low-Medium,No,No,,,,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
No,,Low-Medium,No,No,,,,Missing,,External,Insufficient input validation,Low,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,Yes,No,No,No,No,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,,High,No,No,,,,21856,Misuse of resources,External,,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,33000,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,Medium,High,No,No,,,,Missing,,External,Unknown network attack,Low,Confidentiality,Unknown
Yes,Medium,High,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
No,Medium,High,No,No,Yes,No,Yes,111589,Misuse of resources,External,Social engineering,High,Confidentiality,Phisher
No,Large,Low-Medium,No,No,,,,18000,Installed malware,External,Unknown device attack,Low,Confidentiality,Unknown
Yes,,Low,No,No,,,,375000,,External,,Medium,Confidentiality,Unknown
Yes,,Low-Medium,No,No,,,,300000,,External,Insufficient input validation,High,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,,,,31667,,External,Unknown network attack,Medium,Confidentiality,Unknown
Yes,Medium,High,No,No,No,No,No,8500000,Misuse of resources,Internal,Inappropriate use of privilege,High,Confidentiality,Unknown
No,Small,Medium-High,No,No,,,Yes,2000000,,External,,Low,Confidentiality,Unknown
No,Large,Medium-High,No,No,,,,Missing,Misuse of resources,External,,Low,Confidentiality,Unknown
Yes,,High,No,Yes,,,,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
No,,Medium-High,No,No,,,,Missing,Installed malware,External,Vendor vulnerability,High,Confidentiality,Unknown
Yes,Medium,Low-Medium,No,No,No,No,Yes,9387,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,Large,High,No,No,,,,Missing,Misuse of resources,External,Insufficient authentication validation,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,,,,Missing,Misuse of resources,External,Social engineering,Low,Confidentiality,Phisher
Yes,Large,High,No,No,Yes,No,No,5000000,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Unknown
Yes,Large,Low,No,No,,,,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
No,Large,Low-Medium,No,No,,,,40000000,,External,,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,Yes,No,Yes,Missing,Physical Theft,External,Vendor vulnerability,Medium,Confidentiality,Unknown
No,Large,Low-Medium,No,No,No,No,No,40000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,,Low-Medium,No,No,No,No,Yes,12000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,No,No,No,18000,,External,Social engineering,Low,Confidentiality,Phisher
Yes,Large,High,No,No,Yes,No,Yes,6000000,,External,Unknown network attack,Low,Confidentiality,Unknown
No,Small,High,No,No,,,No,Missing,Misuse of resources,External,Insufficient authentication validation,Medium,Confidentiality,Unknown
Yes,Large,Low,No,No,,,,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,Large,High,Yes,No,,,,145000,Misuse of resources,External,,High,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low,No,No,,,,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
No,,High,No,No,,,Yes,Missing,,External,,High,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,61027,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,High,No,No,,No,Yes,3950000,Physical Theft,External,Vendor vulnerability,High,Confidentiality,Unknown
No,Large,Low-Medium,No,No,,,,Missing,Misuse of resources,External,Social engineering,Low,Confidentiality,Phisher
Yes,Large,Medium-High,No,No,,,,Missing,Misuse of resources,External,Vendor vulnerability,High,Confidentiality,Script kiddie or Hacker
Yes,,Medium-High,No,No,,,,Missing,Installed malware,External,Vendor vulnerability,High,Confidentiality,Unknown
Yes,Large,Medium-High,No,No,,,Yes,Missing,,External,,Low,Confidentiality,Unknown
Yes,Large,Medium-High,No,No,,No,,Missing,,External,,Medium,Confidentiality,Unknown
Yes,,Medium-High,No,No,,,,29000,Web compromise,External,Unknown website/web application attack,Low,Confidentiality,Unknown
No,Large,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
No,Large,High,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,,Medium-High,No,No,,,,Missing,,External,,High,Confidentiality,Unknown
No,,High,No,No,Yes,,Yes,6600000,Misuse of resources,External,Unknown network attack,High,Confidentiality,Unknown
No,,Medium-High,No,No,No,No,No,Missing,Physical Theft,External,Social engineering,High,Confidentiality,Phisher
Yes,,Medium-High,No,No,,No,,Missing,Misuse of resources,External,Insufficient input validation,High,Confidentiality,Unknown
Yes,Medium,High,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,Large,Medium-High,No,No,No,No,Yes,1400000,Physical Theft,External,Vendor vulnerability,Medium,Confidentiality,Insider or Physical theft
Yes,Small,Low-Medium,No,No,,,,10000,Installed malware,External,,High,Availability,Cybercriminal group
No,Small,Medium-High,No,No,Yes,No,Yes,Missing,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Cybercriminal group
Yes,Large,High,Yes,No,,,,Missing,Misuse of resources,External,Insufficient input validation,Low,Confidentiality,Unknown
Yes,,Medium-High,No,No,,,,55000000,Web compromise,External,Unknown website/web application attack,Medium,Confidentiality,Unknown
Yes,Large,Medium-High,No,No,No,No,,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,Large,Low-Medium,No,No,Yes,No,No,197518,Installed malware,External,,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,,,,400000,,External,Vendor vulnerability,Low,Confidentiality,Third-party
Yes,Large,Low-Medium,Yes,No,Yes,Yes,,4500000,,External,Insufficient authentication validation,Medium,Confidentiality,Unknown
Yes,,High,No,No,No,No,No,1000000,Physical Theft,Internal,Physical device,High,Confidentiality,Unknown
No,Large,High,No,No,,,,662000,,External,,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,,,,12500,,External,,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,,,,Missing,Misuse of resources,External,Social engineering,Low,Confidentiality,Phisher
Yes,,Low-Medium,No,No,,,,220000,,External,,High,Confidentiality,Unknown
Yes,Medium,Low-Medium,No,No,No,No,Yes,43000,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,No,No,Yes,300000,Physical Theft,External,Physical device,Medium,Confidentiality,Unknown
Yes,Large,High,No,No,,,,Missing,,External,Insufficient authentication validation,High,Confidentiality,Unknown
No,Large,Low-Medium,No,No,,No,Yes,45000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,,Low-Medium,No,No,,,,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
Yes,Large,High,No,No,No,No,Yes,2000000,Misuse of resources,Internal,Inappropriate use of privilege,High,Confidentiality,Unknown
Yes,Large,Medium-High,No,No,,,,756000,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
Yes,Large,High,No,No,,,,Missing,Misuse of resources,External,Social engineering,Low,Confidentiality,Phisher
No,Medium,High,No,No,,,,Missing,Misuse of resources,External,Social engineering,High,Confidentiality,Phisher
Yes,Medium,Low-Medium,No,No,,No,,23300,Misuse of resources,External,,High,Confidentiality,Phisher
No,Large,Low,No,No,,,,Missing,,External,,Medium,Confidentiality,Unknown
No,Large,Low,No,No,No,No,Yes,Missing,Installed malware,External,Insufficient input validation,High,Confidentiality,Cybercriminal group
Yes,,High,No,No,Yes,No,Yes,Missing,Installed malware,External,Insufficient input validation,High,Confidentiality,Cybercriminal group
No,,Medium-High,No,No,,No,Yes,Missing,,External,,High,Confidentiality,Unknown
No,Small,Low-Medium,No,No,,,,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,Large,High,No,No,,No,Yes,Missing,,External,,Low,Confidentiality,Unknown
Yes,Large,High,No,No,No,No,Yes,192000,,External,,Medium,Confidentiality,Unknown
No,,Medium-High,No,No,,,,Missing,Web compromise,External,Unknown website/web application attack,Medium,Confidentiality,Unknown
No,,High,No,No,Yes,No,Yes,699464,Web compromise,External,Insufficient input validation,Low,Confidentiality,Unknown
No,Large,Medium-High,No,No,No,No,No,8637405,Misuse of resources,Internal,Physical device,High,Confidentiality,Unknown
No,Large,Medium-High,No,No,No,No,No,Missing,,External,Insufficient authentication validation,Low,Confidentiality,Unknown
Yes,Large,Low,No,No,Yes,No,Yes,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,,Low,No,No,,,Yes,567000,,External,Unknown network attack,High,Confidentiality,Unknown
Yes,Medium,High,No,No,,,,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,Medium,Low,No,No,Yes,No,Yes,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,Large,High,No,No,Yes,No,Yes,226000,Web compromise,External,Unknown network attack,High,Confidentiality,Unknown
Yes,Small,Medium-High,No,No,No,No,Yes,337000,Physical Theft,External,Physical device,High,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,No,No,Yes,11500,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,High,No,No,No,No,Yes,567000,Physical Theft,External,Physical device,High,Confidentiality,Insider or Physical theft
Yes,Medium,High,No,No,No,No,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,Large,High,No,No,,,Yes,Missing,Misuse of resources,External,,Low,Confidentiality,Unknown
No,Large,Low-Medium,No,No,,,,Missing,,External,Unknown network attack,Medium,Confidentiality,Unknown
Yes,Large,High,No,No,Yes,No,Yes,80000,,External,,High,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,No,No,Yes,20100,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Medium,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
